"","Abbreviations","Period","Group","Period2","Period3","Order","Order2","Group2","Age2","Diet","Neocortex_surface_mm2","Brain_surface_mm2","PEQ","predicted","residuals"
"Hyopsodus_paulus","Hy_pa","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Hyopsodus","Hyopsodus","Eocene archaic taxa","middle Eocene","Herbivorous",240.243,1775.62,0.471601020325851,2.52525856386786,-0.144607821453031
"Hyrachyus_modestus","Hy_mo","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Perissodactyla","Perissodactyla","Eocene crown clades","middle Eocene","Herbivorous",3081.47,15431.4,0.909921151073315,3.34793677702719,0.140821166936997
"Agriochoerus_sp.","Ag_sp","Eocene","Eocene crown clades","middle Eocene","middle Eocene","Artiodactyla","Artiodactyla","Eocene crown clades","middle Eocene","Herbivorous",1606.2,7408.4,0.902053340255059,3.06874998374019,0.137049637830389
"Trogosus_hillsii_Legendre","Tr_hi_Le","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",1313.58,12676.3,0.460818550021853,3.27310916447219,-0.15465263702612
"Trogosus_hillsii_Damuth_area","Tr_hi_DA","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",1313.58,12676.3,0.460818550021853,3.27310916447219,-0.15465263702612
"Trogosus_hillsii_Damuth_length","Tr_hi_DL","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Trogosus hillsii","Herbivorous",1313.58,12676.3,0.460818550021853,3.27310916447219,-0.15465263702612
"Metacheiromys_marshi","Me_ma","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Metacheiromys marshi","Metacheiromys marshi","Eocene archaic taxa","middle Eocene","Herbivorous",307.182,2678.25,0.420668808458461,2.68163801662048,-0.194242252948851
"Sinopa_lania","Si_la","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Creodonta","Creodonta","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",893.27,4560.47,0.767390252458436,2.88414904341959,0.0668337052638952
"Miacis_sylvestris","Mi_sy","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",951.488,4202.62,0.878067926977656,2.85305777314535,0.125345542266292
"Oodectes_herpestoides","Oo_he","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",708.3,2845.9,0.919731621571427,2.70473868876258,0.145478553035814
"Viverravus_minutus","Vi_mi","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",219.862,1374.83,0.540015773391463,2.42792628213291,-0.0857761078717076
"Vulpavus_profectus","Vu_pr","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",850.02,3987,0.821472575677358,2.83301864582081,0.0964104984669518
"Vulpavus_ovatus","Vu_ov","Eocene","Eocene archaic taxa","middle Eocene","middle Eocene","Carnivoramorpha","Carnivoramorpha","Eocene archaic taxa","middle Eocene","Omnivorous-Carnivorous",1069.42,4196.5,0.988160662864693,2.85250331234512,0.176644989551629
